ZIP Code,Postal City 1,Postal City 2,Postal City 3,Not Acceptable 1,Not Acceptable 2,Not Acceptable 3,Location
90713,Lakewood,,,,,,"90713(33.84871142900005, -118.11357922799999)"
91306,Winnetka,,,,,,"91306(34.208404020000046, -118.57593995299999)"
90002,Los Angeles,,,,,,"90002(33.94895070600006, -118.24697958699994)"
90506,Torrance,,,,,,"90506(33.88535286100006, -118.32659746799999)"
90069,West Hollywood,Los Angeles,,,,,"90069(34.08940300900008, -118.37978902499998)"
91361,Westlake Village,,,,,,"91361(34.15138016700007, -118.83569741699995)"
90064,Los Angeles,,,,,,"90064(34.03541197100003, -118.43217675599999)"
91308,West Hills,,,,,,"91308(34.20049176500004, -118.62922710099997)"
91702,Azusa,,,,,,"91702(34.12712200200008, -117.90620949499998)"
91104,Pasadena,,,,,,"91104(34.16700046200003, -118.12758752599996)"
93535,Lancaster,Hi Vista,,,,,"93535(34.688761758000055, -118.05928838399996)"
91345,San Fernando,Mission Hills,,,,,"91345(34.26212132300003, -118.46175755399997)"
91803,Alhambra,,,,,,"91803(34.07533388100006, -118.14430710699997)"
91791,West Covina,,,,,,"91791(34.06466254800006, -117.89769762999998)"
90006,Los Angeles,,,Pico Heights,,,"90006(34.05010243400005, -118.29268904499997)"
90018,Los Angeles,,,Cimarron,Dockweiler,,"90018(34.030771505000075, -118.31686899999994)"
90822,Long Beach,,,,,,"90822(33.79831371000006, -118.15136774099994)"
90840,Long Beach,,,Ca State Univ Long Beach,,,"90840(33.77534166600003, -118.11346625799996)"
90220,Compton,Rancho Dominguez,,,,,"90220(33.885730876000025, -118.23452680099996)"
91346,Mission Hills,San Fernando,,,,,"91346(34.26784369500007, -118.46718880999998)"
91210,Glendale,,,Glendale Galleria,,,"91210(34.14431084300003, -118.25610844299996)"
90037,Los Angeles,,,Green,,,"90037(34.00349356000004, -118.28709702299994)"
91356,Tarzana,,,,,,"91356(34.16990292600008, -118.54048905299999)"
91724,Covina,Charter Oak,,,,,"91724(34.09123225600007, -117.85833622499996)"
90035,Los Angeles,,,Preuss,,,"90035(34.054282330000035, -118.38385594999994)"
91202,Glendale,,,,,,"91202(34.163611358000026, -118.26495921899999)"
91733,South El Monte,El Monte,,,,,"91733(34.05510353600005, -118.046996364)"
90620,Buena Park,,,,,,"90620(33.842780497000035, -118.01234928999997)"
90638,La Mirada,,,,,,"90638(33.90267205300006, -118.00708748799997)"
90045,Los Angeles,Westchester,,Playa Vista,,,"90045(33.961520807000056, -118.39344972199996)"
90602,Whittier,,,,,,"90602(33.97114064900006, -118.03505628799996)"
93552,Palmdale,,,,,,"93552(34.56282177300005, -118.03543864899996)"
90401,Santa Monica,,,,,,"90401(34.01760179300004, -118.49296772799994)"
93553,Pearblossom,,,,,,"93553(34.470473026000036, -117.89937914699999)"
91344,Granada Hills,,,,,,"91344(34.27480004900008, -118.50113633799998)"
90033,Los Angeles,,,Boyle Heights,,,"90033(34.048564302000045, -118.21151999699998)"
90717,Lomita,,,,,,"90717(33.79380359500004, -118.31735998599999)"
90278,Redondo Beach,,,,,,"90278(33.87141408300005, -118.37072968799998)"
90501,Torrance,,,,,,"90501(33.82909372900008, -118.31420985699998)"
90802,Long Beach,,,,,,"90802(33.76935424900006, -118.184528823)"
91008,Duarte,Bradbury,,,,,"91008(34.148373424000056, -117.96596635599997)"
90304,Inglewood,Lennox,,,,,"90304(33.939383004000035, -118.35812917199996)"
90660,Pico Rivera,,,,,,"90660(33.991331890000026, -118.09123720999997)"
90720,Los Alamitos,Cypress,Rossmoor,,,,"90720(33.79895242600003, -118.06819998999998)"
90245,El Segundo,,,,,,"90245(33.92015201000004, -118.40580691799994)"
91030,South Pasadena,,,,,,"91030(34.11205352300004, -118.15473946499998)"
90031,Los Angeles,,,,,,"90031(34.077523764000034, -118.21310592399999)"
90089,Los Angeles,,,University Of Southern CA,,,"90089(34.02032176700004, -118.28529818999999)"
91606,North Hollywood,,,,,,"91606(34.186731132000034, -118.38680620899999)"
90732,San Pedro,,,,,,"90732(33.73946061100003, -118.31340603099994)"
91204,Glendale,,,,,,"91204(34.13669404900003, -118.25949754799996)"
91208,Glendale,,,,,,"91208(34.19002030100006, -118.22716636199999)"
90301,Inglewood,,,,,,"90301(33.956363286000055, -118.35484869299995)"
91766,Pomona,,,,,,"91766(34.044180192000056, -117.75239630099998)"
90066,Los Angeles,,,Culver City,Mar Vista,,"90066(34.00215095400006, -118.42903966199998)"
91316,Encino,,,,,,"91316(34.16673107200006, -118.51629606299997)"
91101,Pasadena,,,,,,"91101(34.145210260000056, -118.13830665399996)"
90061,Los Angeles,,,South,,,"90061(33.923032748000026, -118.27377958099999)"
93523,Edwards,,,,,,"93523(35.02872367800006, -117.89962681199995)"
91125,Pasadena,,,Cal Tech,,,"91125(34.13591194800006, -118.12575827799998)"
91773,San Dimas,,,,,,"91773(34.10316364100004, -117.81483837499997)"
91762,Ontario,Montclair,,,,,"91762(34.05779309400003, -117.66328892799999)"
90046,Los Angeles,West Hollywood,,,,,"90046(34.097150154000076, -118.35826821299997)"
90292,Marina Del Rey,,,,,,"90292(33.98163383800005, -118.45110794499999)"
91362,Westlake Village,,,,,,"91362(34.181860381000035, -118.82387900199996)"
